anime_id,name,genre,type,episodes,rating,members
31757,b'Kizumonogatari II: Nekketsu-hen',"['Action', 'Mystery', 'Supernatural']",Movie,1,8.59,393450
37991,b'JoJo no Kimyou na Bouken Part 5: Ougon no Kaze',"['Action', 'Adventure']",TV,39,8.58,842641
32983,b'Natsume Yuujinchou Go',"['Drama', 'Slice of Life', 'Supernatural']",TV,11,8.58,164064
10379,b'Natsume Yuujinchou San',"['Drama', 'Slice of Life', 'Supernatural']",TV,13,8.58,230293
28735,b'Shouwa Genroku Rakugo Shinjuu',['Drama'],TV,13,8.58,265936
4565,b'Tengen Toppa Gurren Lagann Movie 2: Lagann-hen',"['Action', 'Sci-Fi']",Movie,1,8.57,194646
7785,b'Yojouhan Shinwa Taikei',"['Comedy', 'Mystery', 'Romance']",TV,11,8.57,392792
40417,b'Fruits Basket 2nd Season',"['Drama', 'Romance', 'Supernatural']",TV,25,8.57,402232
36098,b'Kimi no Suizou wo Tabetai',"['Drama', 'Romance', 'Slice of Life']",Movie,1,8.57,771656
11741,b'Fate/Zero 2nd Season',"['Action', 'Fantasy', 'Supernatural']",TV,12,8.56,1005403
12365,b'Bakuman. 3rd Season',"['Comedy', 'Drama', 'Romance']",TV,25,8.55,306593
